text,category
Cannot login to my email account password reset not working,Account
Outlook keeps crashing every time I open it,Software
My laptop screen is flickering and goes black,Hardware
VPN connection drops every few minutes,Network
Need access to the shared finance drive,Access
Forgot my password please reset it,Account
Wifi is not working on the 4th floor,Network
Printer on 2nd floor is showing paper jam error,Hardware
Excel is freezing when I open large files,Software
Please grant me access to the HR portal,Access
Two factor authentication code not arriving on phone,Account
Internet connection very slow today,Network
External monitor not detected by docking station,Hardware
Microsoft Teams will not start after update,Software
Need admin rights to install developer tools,Access
Email account locked after multiple attempts,Account
Cannot connect to the office wifi network,Network
Keyboard keys are stuck and unresponsive,Hardware
Adobe Acrobat crashes when opening PDF,Software
Request access to the marketing sharepoint site,Access
Unable to login to the company portal,Account
Server is unreachable from my machine,Network
Mouse cursor is frozen on screen,Hardware
Zoom application will not launch,Software
Please add me to the engineering distribution list,Access
Password expired and reset link not working,Account
DNS resolution failing for internal sites,Network
Laptop battery not charging anymore,Hardware
Slack notifications stopped working after update,Software
Need permission to access the source code repository,Access
My account is showing as disabled,Account
Cannot reach the production database server,Network
Headset microphone is not working in calls,Hardware
Visual Studio is throwing license error,Software
Please provide read access to the audit folder,Access
SSO login redirects to error page,Account
Network shared drive is not mapping at startup,Network
Webcam is not recognized by the system,Hardware
Chrome browser keeps freezing on every site,Software
Need access to the deployment dashboard,Access
